游戏总小时数,　评价
63.4,不推荐
60.4,推荐
42.5,不推荐
12.1,不推荐
157.1,不推荐
128.9,不推荐
85.4,不推荐
27.9,不推荐
217.1,不推荐
23.0,不推荐
38.0,不推荐
47.6,不推荐
102.0,推荐
47.1,不推荐
106.5,不推荐
17.2,不推荐
62.7,不推荐
27.0,不推荐
12.2,不推荐
16.7,不推荐
13.1,不推荐
66.9,推荐
10.3,不推荐
61.2,不推荐
52.7,推荐
24.9,不推荐
0.6,推荐
91.0,不推荐
93.3,不推荐
5.3,不推荐
39.5,不推荐
25.5,不推荐
5.1,不推荐
36.6,不推荐
62.2,不推荐
98.9,不推荐
25.9,推荐
27.4,不推荐
41.5,不推荐
8.1,不推荐
165.5,不推荐
43.9,不推荐
25.5,不推荐
80.1,不推荐
18.9,不推荐
132.8,不推荐
83.5,不推荐
138.0,不推荐
26.6,不推荐
63.0,不推荐
50.7,推荐
129.2,推荐
41.9,不推荐
109.6,不推荐
32.4,不推荐
137.6,不推荐
2.7,不推荐
89.9,不推荐
9.4,不推荐
37.6,不推荐
229.7,不推荐
139.3,推荐
0.5,不推荐
59.1,不推荐
77.2,不推荐
58.8,不推荐
22.0,不推荐
92.0,推荐
30.5,不推荐
5.2,不推荐
128.0,不推荐
210.6,不推荐
96.3,推荐
109.6,不推荐
115.4,推荐
39.9,推荐
31.6,推荐
170.2,不推荐
47.3,推荐
24.7,不推荐
3.7,不推荐
1.2,不推荐
93.4,不推荐
10.3,不推荐
22.8,推荐
137.0,不推荐
224.4,不推荐
135.6,不推荐
41.5,推荐
0.5,不推荐
13.6,不推荐
157.5,不推荐
6.8,不推荐
37.0,推荐
55.0,不推荐
13.8,推荐
76.7,不推荐
5.2,不推荐
48.9,不推荐
36.0,推荐
96.2,不推荐
6.8,不推荐
35.2,不推荐
1.4,不推荐
21.5,不推荐
83.1,不推荐
127.3,不推荐
99.1,不推荐
63.9,不推荐
57.7,推荐
155.5,不推荐
2.0,不推荐
106.2,不推荐
55.1,推荐
64.4,不推荐
221.9,推荐
39.7,不推荐
31.0,不推荐
97.5,推荐
50.5,不推荐
86.0,不推荐
25.7,不推荐
98.3,不推荐
65.7,不推荐
40.5,不推荐
143.0,不推荐
29.6,推荐
226.1,不推荐
19.2,不推荐
39.9,不推荐
0.5,不推荐
46.3,不推荐
12.2,不推荐
44.1,不推荐
81.7,推荐
78.0,推荐
98.8,不推荐
93.6,不推荐
35.4,不推荐
50.8,推荐
23.4,不推荐
56.4,不推荐
62.7,不推荐
35.8,推荐
42.8,不推荐
23.9,不推荐
35.1,不推荐
19.0,不推荐
48.9,推荐
298.7,不推荐
94.0,推荐
26.1,不推荐
36.4,不推荐
129.5,推荐
111.0,不推荐
45.9,不推荐
86.6,不推荐
24.8,不推荐
32.2,推荐
39.2,不推荐
22.7,不推荐
159.5,推荐
11.3,不推荐
31.1,推荐
93.5,不推荐
55.1,不推荐
13.7,推荐
15.6,不推荐
522.8,推荐
49.5,不推荐
18.9,不推荐
1.4,不推荐
1.0,不推荐
54.6,不推荐
73.9,不推荐
0.6,不推荐
4.3,不推荐
10.6,不推荐
80.2,推荐
16.3,不推荐
27.1,不推荐
220.0,不推荐
36.1,不推荐
185.2,推荐
46.8,不推荐
9.4,不推荐
8.2,不推荐
253.9,不推荐
74.7,不推荐
207.3,不推荐
61.9,不推荐
53.4,推荐
14.9,不推荐
40.8,推荐
2.8,不推荐
112.0,推荐
78.8,不推荐
65.2,不推荐
65.7,推荐
25.9,不推荐
39.5,不推荐
53.4,不推荐
92.6,不推荐
87.3,不推荐
148.1,不推荐
84.2,不推荐
17.5,推荐
92.8,不推荐
6.1,不推荐
245.6,不推荐
71.5,不推荐
31.7,不推荐
200.6,不推荐
37.8,不推荐
29.7,不推荐
36.8,不推荐
44.3,不推荐
39.9,不推荐
13.6,不推荐
0.8,推荐
131.7,不推荐
138.8,不推荐
62.5,不推荐
78.1,不推荐
174.7,不推荐
87.4,不推荐
29.0,推荐
42.3,不推荐
60.3,推荐
91.9,不推荐
233.4,不推荐
42.7,不推荐
31.1,不推荐
62.2,不推荐
111.6,不推荐
55.5,推荐
78.8,不推荐
102.1,不推荐
112.4,不推荐
212.9,不推荐
128.0,推荐
157.2,不推荐
71.9,不推荐
179.2,推荐
43.5,不推荐
106.1,不推荐
75.3,不推荐
61.5,不推荐
26.2,不推荐
52.6,不推荐
61.9,不推荐
67.7,不推荐
175.0,不推荐
111.6,不推荐
43.2,不推荐
177.5,不推荐
97.8,不推荐
60.2,不推荐
49.6,不推荐
211.0,不推荐
7.7,推荐
136.6,不推荐
87.2,不推荐
57.0,不推荐
81.0,不推荐
11.9,推荐
9.8,不推荐
66.8,不推荐
25.2,不推荐
59.9,不推荐
43.8,不推荐
92.6,不推荐
39.9,推荐
158.3,不推荐
89.8,不推荐
12.4,推荐
51.1,不推荐
84.5,不推荐
36.6,不推荐
66.9,推荐
160.4,不推荐
76.3,不推荐
93.9,不推荐
173.2,推荐
147.5,不推荐
41.2,推荐
66.0,不推荐
42.7,不推荐
9.1,不推荐
126.2,不推荐
8.2,不推荐
54.8,不推荐
0.5,不推荐
73.6,不推荐
22.8,推荐
12.2,不推荐
54.7,推荐
105.8,不推荐
71.0,推荐
34.0,不推荐
5.7,不推荐
124.7,不推荐
23.2,不推荐
101.1,不推荐
72.8,不推荐
13.2,不推荐
